0,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265187,-0.230,-0.036,0.001,0.000,0.01,-0.10,3000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265189,-0.223,-0.034,0.001,0.000,0.01,-0.10,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265191,-0.219,-0.028,0.001,0.000,-0.05,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265193,-0.215,-0.023,0.001,0.000,-0.05,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265195,-0.211,-0.018,0.001,0.000,-0.05,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265198,-0.207,-0.014,0.001,0.000,-0.04,-0.06,3000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265200,-0.203,-0.009,0.001,0.000,-0.04,-0.06,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265202,-0.199,-0.005,0.001,0.000,-0.04,-0.06,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265204,-0.195,-0.001,0.001,0.000,-0.04,-0.06,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265206,-0.187,0.003,0.001,0.000,-0.01,0.04,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265209,-0.179,0.006,0.001,0.000,-0.01,0.04,3000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265211,-0.171,0.009,0.001,0.000,-0.01,0.04,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265213,-0.168,0.013,0.001,0.000,-0.12,-0.03,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265215,-0.165,0.017,0.001,0.000,-0.12,-0.03,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265217,-0.162,0.020,0.001,0.000,-0.12,-0.03,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265220,-0.159,0.024,0.001,0.000,-0.12,-0.03,3000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265222,-0.158,0.026,0.001,0.000,-0.00,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265224,-0.157,0.029,0.001,0.000,-0.00,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
DATA,265226,-0.156,0.031,0.001,0.000,-0.00,-0.02,2000,1558,6,2,28,0,0,0,90.02,90.00,90.00,89.98
